parameter,mean,sd,q05,q95,rhat,ess
"z[175,1]",-0.805,0.727,-1.993,0.387,1.001,3548
"z[176,1]",-0.21,0.742,-1.422,1.018,1,7772
"z[177,1]",-0.914,0.658,-1.965,0.187,1,8282
"z[178,1]",1.435,0.717,0.237,2.616,1,7985
"z[179,1]",0.798,0.694,-0.36,1.927,1,8412
"z[180,1]",-0.26,0.778,-1.549,1,1,9381
"z[181,1]",-0.824,0.738,-2.044,0.383,1.001,8820
"z[182,1]",1.285,0.807,-0.052,2.611,1.001,7836
"z[183,1]",1.467,0.681,0.348,2.577,1,7554
"z[184,1]",0.251,0.696,-0.878,1.41,1,7970
"z[185,1]",0.504,0.728,-0.697,1.696,1,8735
"z[186,1]",0.583,0.663,-0.499,1.667,1,6478
"z[187,1]",-0.361,0.659,-1.436,0.728,1.001,7273
"z[188,1]",-0.046,0.691,-1.163,1.102,1,7945
"z[189,1]",0.014,0.686,-1.101,1.168,1.001,7622
"z[190,1]",-1.067,0.726,-2.269,0.11,1,7799
"z[191,1]",0.279,0.878,-1.134,1.725,1,8160
"z[192,1]",0.376,0.781,-0.921,1.656,1,9120
"z[193,1]",0.249,0.783,-1.059,1.507,1.001,8350
"z[194,1]",-0.441,0.741,-1.665,0.747,1,7564
"z[195,1]",-1.011,0.687,-2.149,0.103,1,8769
"z[196,1]",-0.219,0.692,-1.37,0.924,1,9154
"z[197,1]",-1.513,0.711,-2.68,-0.333,1.001,3611
"z[198,1]",0.433,0.425,-0.285,1.128,1,8371
"z[199,1]",-0.998,0.415,-1.691,-0.324,1.001,7927
"z[200,1]",0.377,0.472,-0.397,1.156,1.001,8619
"z[201,1]",0.832,0.558,-0.113,1.717,1.001,2606
"z[202,1]",-0.481,0.425,-1.165,0.224,1,6735
"z[203,1]",-1.09,0.41,-1.753,-0.409,1,7599
"z[204,1]",-0.465,0.432,-1.182,0.241,1,8487
"z[205,1]",0.315,0.46,-0.444,1.064,1,8777
"z[206,1]",-0.987,0.479,-1.769,-0.203,1,8210
"z[207,1]",-1.177,0.417,-1.844,-0.492,1.001,8068
"z[208,1]",0.508,0.416,-0.171,1.195,1,7562
"z[209,1]",0.543,0.418,-0.124,1.242,1,7190
"z[210,1]",-0.226,0.429,-0.921,0.508,1,6673
"z[211,1]",-0.613,0.468,-1.389,0.149,1,8293
"z[212,1]",0.156,0.457,-0.611,0.916,1,8186
"z[213,1]",-0.717,0.457,-1.469,0.023,1.001,9430
"z[214,1]",0.333,0.516,-0.51,1.181,1,8333
"z[215,1]",-0.321,0.455,-1.071,0.424,1,8772
"z[216,1]",0.663,0.399,0.024,1.329,1,7968
"z[217,1]",-0.314,0.406,-0.984,0.357,1.001,8433
"z[218,1]",-0.492,0.435,-1.209,0.233,1,6820
"z[219,1]",-0.877,0.421,-1.581,-0.184,1,5823
"z[220,1]",0.936,0.446,0.187,1.669,1,7265
"z[221,1]",1.247,0.512,0.393,2.087,1,8596
"z[222,1]",0.164,0.409,-0.509,0.838,1,7353
"z[223,1]",-1.141,0.415,-1.817,-0.463,1,8614
"z[224,1]",-0.457,0.456,-1.202,0.289,1,8575
"z[225,1]",-0.996,0.427,-1.697,-0.292,1,6382
"z[226,1]",0.366,0.403,-0.309,1.02,1,8370
"z[227,1]",0.236,0.429,-0.452,0.949,1,5176
"z[228,1]",0.296,0.423,-0.396,0.987,1,7074
"z[229,1]",0.871,0.424,0.17,1.572,1,8857
"z[230,1]",0.875,0.433,0.169,1.587,1,8553
"z[231,1]",0.664,0.415,-0.023,1.336,1,6883
"z[232,1]",0.179,0.418,-0.518,0.871,1,7798
"z[233,1]",0.228,0.419,-0.465,0.911,1.001,5846
"z[234,1]",-0.194,0.431,-0.877,0.532,1.001,4568
"z[235,1]",0.324,0.412,-0.363,0.995,1,6468
"z[236,1]",-0.015,0.458,-0.759,0.753,1,9254
"z[237,1]",-0.726,0.408,-1.393,-0.059,1.001,7605
"z[238,1]",1.52,0.43,0.804,2.225,1,8599
"z[239,1]",-0.693,0.411,-1.361,-0.014,1,8595
"z[240,1]",0.106,0.427,-0.588,0.806,1,8495
"z[241,1]",0.271,0.427,-0.425,0.981,1,8593
"z[242,1]",-0.334,0.524,-1.205,0.527,1,8863
"z[243,1]",0.233,0.459,-0.526,0.98,1,8464
"z[244,1]",-0.397,0.415,-1.067,0.271,1,8305
"z[245,1]",-2.081,0.521,-2.945,-1.238,1,8864
"z[246,1]",-0.605,0.426,-1.307,0.099,1,7968
"z[247,1]",-1.406,0.447,-2.149,-0.68,1,7627
"z[248,1]",0.286,0.44,-0.429,1.008,1,8169
"z[249,1]",-1.502,0.408,-2.175,-0.829,1,7673
"z[250,1]",-0.076,0.461,-0.834,0.675,1,9592
"z[251,1]",0.095,0.456,-0.639,0.852,1,8876
"z[252,1]",0.095,0.472,-0.685,0.866,1,7748
"z[253,1]",1.012,0.468,0.248,1.77,1.001,8328
"z[254,1]",0.571,0.415,-0.104,1.267,1,8032
"z[255,1]",1.667,0.469,0.889,2.427,1.001,6036
"z[256,1]",-0.209,0.465,-0.978,0.54,1,8245
"z[257,1]",1.22,0.431,0.503,1.928,1,8639
"z[258,1]",-0.27,0.459,-1.03,0.48,1,8318
"z[259,1]",0.299,0.452,-0.461,1.034,1,7925
"z[260,1]",-1.155,0.421,-1.843,-0.467,1,7450
"z[261,1]",-0.862,0.47,-1.635,-0.093,1,7670
"z[262,1]",-0.171,0.413,-0.857,0.508,1,8566
"z[263,1]",-0.592,0.462,-1.367,0.162,1,6171
"z[264,1]",0.281,0.411,-0.392,0.95,1,8074
"z[265,1]",-0.032,0.526,-0.923,0.832,1,8052
"z[266,1]",-0.844,0.418,-1.514,-0.141,1,7284
"z[267,1]",-1.975,0.415,-2.66,-1.301,1,8431
"z[268,1]",1.313,0.641,0.256,2.359,1,9152
"z[269,1]",0.114,0.464,-0.66,0.877,1,8463
"z[270,1]",0.845,0.456,0.097,1.6,1,8845
"z[271,1]",0.193,0.52,-0.657,1.046,1,9043
"z[272,1]",-0.188,0.446,-0.918,0.539,1,7405
"z[273,1]",0.799,0.434,0.081,1.494,1,6269
"z[274,1]",1.352,0.422,0.658,2.048,1,8432
"z[275,1]",1.091,0.522,0.236,1.962,1,8893
