parameter,mean,sd,q05,q95,rhat,ess
"mu_y[1577,1]",2.81,0.864,1.396,4.219,1,8346
"mu_y[1578,1]",3.115,1.107,1.313,4.922,1.001,8104
"mu_y[1579,1]",6.454,0.914,4.97,7.947,1,8682
"mu_y[1580,1]",7.773,1.109,5.924,9.57,1,8593
"mu_y[1581,1]",1.786,0.777,0.489,3.052,1,7423
"mu_y[1582,1]",1.838,0.783,0.537,3.139,1,7899
"mu_y[1583,1]",1.98,1.204,-0.003,3.919,1,8521
"mu_y[1584,1]",5.553,0.889,4.091,7.013,1,9005
"mu_y[1585,1]",7.068,1.125,5.214,8.898,1,9357
"mu_y[1586,1]",1.504,0.747,0.252,2.7,1.001,8094
"mu_y[1587,1]",1.111,0.64,0.046,2.147,1,8141
"mu_y[1588,1]",0.857,0.664,-0.23,1.953,1,8210
"mu_y[1589,1]",0.421,0.854,-0.98,1.835,1,8114
"mu_y[1590,1]",0.088,1.072,-1.673,1.859,1,8038
"mu_y[1591,1]",1.983,0.959,0.39,3.572,1,8648
"mu_y[1592,1]",2.084,1.153,0.179,3.99,1.001,8450
"mu_y[1593,1]",4.223,0.795,2.907,5.53,1,7296
"mu_y[1594,1]",5.181,0.799,3.881,6.496,1,8437
"mu_y[1595,1]",7.248,1.278,5.203,9.381,1,8295
"mu_y[1596,1]",1.201,0.812,-0.146,2.512,1,7314
"mu_y[1597,1]",1.113,0.935,-0.438,2.683,1,8230
"mu_y[1598,1]",1.079,1.128,-0.783,2.962,1,8200
"mu_y[1599,1]",3.695,0.73,2.517,4.89,1,7707
"mu_y[1600,1]",4.242,0.633,3.202,5.284,1,8541
"mu_y[1601,1]",4.78,0.667,3.688,5.872,1,8688
"mu_y[1602,1]",5.371,0.831,4,6.736,1.001,8601
"mu_y[1603,1]",6.021,1.096,4.23,7.858,1.001,8437
"mu_y[1604,1]",2.946,0.886,1.524,4.431,1,7768
"mu_y[1605,1]",2.346,1.321,0.171,4.521,1,8434
"mu_y[1606,1]",1.772,0.763,0.51,3.02,1,8834
"mu_y[1607,1]",1.928,0.844,0.555,3.318,1,8915
"mu_y[1608,1]",2.064,1.087,0.281,3.869,1,8866
"mu_y[1609,1]",1.326,0.791,0.021,2.622,1,8055
"mu_y[1610,1]",0.904,0.795,-0.413,2.209,1,8152
"mu_y[1611,1]",0.048,1.243,-1.985,2.077,1,7575
"mu_y[1612,1]",2.547,0.801,1.24,3.866,1,8249
"mu_y[1613,1]",2.766,0.838,1.392,4.138,1,7670
"mu_y[1614,1]",3.005,1.274,0.916,5.102,1,7367
"mu_y[1615,1]",3.875,0.878,2.425,5.313,1,8641
"mu_y[1616,1]",5.161,1.248,3.098,7.215,1,8538
"mu_y[1617,1]",4.102,0.782,2.813,5.377,1,7561
"mu_y[1618,1]",4.308,0.85,2.888,5.664,1,7676
"mu_y[1619,1]",4.723,1.139,2.818,6.552,1.001,8084
"mu_y[1620,1]",1.916,0.885,0.454,3.369,1.001,8675
"mu_y[1621,1]",2.086,1.163,0.156,4.015,1.001,8913
"mu_y[1622,1]",2.601,0.709,1.411,3.76,1,8894
"mu_y[1623,1]",3.276,0.615,2.267,4.27,1.001,8760
"mu_y[1624,1]",3.943,0.592,2.97,4.898,1.001,8489
"mu_y[1625,1]",4.606,0.645,3.559,5.678,1.001,8257
"mu_y[1626,1]",5.284,0.762,4.047,6.546,1.001,8144
"mu_y[1627,1]",6.645,1.099,4.871,8.452,1,8133
"mu_y[1628,1]",2.947,0.885,1.52,4.405,1,8751
"mu_y[1629,1]",3.254,1.005,1.61,4.892,1,8987
"mu_y[1630,1]",3.048,0.717,1.879,4.261,1,8456
"mu_y[1631,1]",3.388,0.61,2.392,4.392,1,8613
"mu_y[1632,1]",3.64,0.591,2.664,4.601,1,8331
"mu_y[1633,1]",3.984,0.657,2.903,5.067,1,7991
"mu_y[1634,1]",4.247,0.764,2.975,5.508,1,7885
"mu_y[1635,1]",4.832,1.093,3.012,6.636,1,7784
"mu_y[1636,1]",1.482,0.708,0.32,2.631,1,8017
"mu_y[1637,1]",1.22,0.618,0.212,2.244,1,8017
"mu_y[1638,1]",0.955,0.598,-0.027,1.942,1,8018
"mu_y[1639,1]",0.686,0.659,-0.407,1.764,1,8068
"mu_y[1640,1]",0.414,0.784,-0.872,1.703,1,8142
"mu_y[1641,1]",-0.125,1.131,-2.032,1.738,1,8193
"mu_y[1642,1]",2.415,0.73,1.195,3.624,1,8829
"mu_y[1643,1]",2.695,0.703,1.542,3.848,1,8688
"mu_y[1644,1]",2.965,0.832,1.602,4.314,1,8347
"mu_y[1645,1]",3.26,1.084,1.48,5.008,1,8129
"mu_y[1646,1]",2.086,0.805,0.77,3.413,1,8653
"mu_y[1647,1]",2.009,0.846,0.608,3.401,1,8690
"mu_y[1648,1]",1.928,1.269,-0.149,4.038,1,8567
"mu_y[1649,1]",5.087,0.865,3.668,6.523,1,9024
"mu_y[1650,1]",7.167,1.266,5.084,9.284,1,8607
"mu_y[1651,1]",2.763,0.767,1.499,4.039,1.001,7721
"mu_y[1652,1]",3.205,0.844,1.816,4.605,1,8486
"mu_y[1653,1]",3.643,1.117,1.795,5.481,1,8666
"mu_y[1654,1]",3.662,0.734,2.476,4.908,1,7485
"mu_y[1655,1]",4.433,0.612,3.436,5.446,1,7940
"mu_y[1656,1]",4.983,0.601,3.993,5.967,1,8215
"mu_y[1657,1]",5.429,0.644,4.366,6.488,1,8177
"mu_y[1658,1]",6.061,0.766,4.786,7.351,1,7945
"mu_y[1659,1]",7.313,1.125,5.425,9.176,1,7621
"mu_y[1660,1]",3.017,0.702,1.859,4.162,1,8123
"mu_y[1661,1]",4.108,0.608,3.095,5.109,1,8016
"mu_y[1662,1]",5.113,0.591,4.134,6.081,1,7946
"mu_y[1663,1]",6.123,0.649,5.065,7.203,1,7888
"mu_y[1664,1]",7.248,0.781,5.967,8.552,1,8031
"mu_y[1665,1]",9.275,1.111,7.447,11.121,1.001,8152
"mu_y[1666,1]",3.991,0.719,2.799,5.168,1,8588
"mu_y[1667,1]",5.336,0.613,4.32,6.34,1,8604
"mu_y[1668,1]",6.379,0.599,5.379,7.347,1,8377
"mu_y[1669,1]",7.538,0.658,6.455,8.611,1,8112
"mu_y[1670,1]",8.664,0.774,7.41,9.93,1,7967
"mu_y[1671,1]",11.02,1.118,9.217,12.865,1,7877
"mu_y[1672,1]",1.761,0.703,0.619,2.936,1,8667
"mu_y[1673,1]",1.988,0.613,0.992,2.995,1,8572
"mu_y[1674,1]",2.263,0.59,1.29,3.225,1,8283
"mu_y[1675,1]",2.51,0.658,1.412,3.578,1,8170
"mu_y[1676,1]",2.721,0.765,1.463,3.97,1,8187
"mu_y[1677,1]",3.2,1.101,1.384,5.018,1,8275
"mu_y[1678,1]",4.418,0.726,3.208,5.576,1,8155
"mu_y[1679,1]",5.876,0.634,4.819,6.912,1,8373
"mu_y[1680,1]",7.041,0.675,5.908,8.153,1,8406
"mu_y[1681,1]",8.45,0.84,7.052,9.83,1,8217
"mu_y[1682,1]",9.594,1.028,7.889,11.294,1,8145
"mu_y[1683,1]",3.153,0.758,1.925,4.402,1,9003
"mu_y[1684,1]",3.889,0.845,2.506,5.271,1,8212
"mu_y[1685,1]",4.53,1.089,2.768,6.31,1,8464
"mu_y[1686,1]",6.176,0.878,4.739,7.646,1,7222
"mu_y[1687,1]",9.727,1.275,7.606,11.801,1.002,7345
"mu_y[1688,1]",1.363,0.788,0.057,2.634,1,6186
"mu_y[1689,1]",1.356,0.715,0.172,2.526,1,8222
"mu_y[1690,1]",1.353,0.791,0.041,2.654,1,8286
"mu_y[1691,1]",1.344,1.271,-0.753,3.439,1,8188
"mu_y[1692,1]",1.414,0.722,0.237,2.606,1,8671
"mu_y[1693,1]",1.296,0.631,0.257,2.343,1,8412
"mu_y[1694,1]",1.214,0.649,0.126,2.289,1,8169
"mu_y[1695,1]",1.104,0.771,-0.167,2.363,1,8149
"mu_y[1696,1]",0.894,1.17,-1.049,2.768,1,8162
"mu_y[1697,1]",3.361,0.89,1.911,4.833,1.001,7940
"mu_y[1698,1]",3.705,1.115,1.878,5.562,1.001,8095
"mu_y[1699,1]",2.84,0.74,1.636,4.068,1,8473
"mu_y[1700,1]",2.832,0.655,1.763,3.93,1,8556
"mu_y[1701,1]",2.814,0.691,1.685,3.942,1,8552
"mu_y[1702,1]",2.805,0.817,1.456,4.143,1,8477
"mu_y[1703,1]",2.788,1.145,0.905,4.662,1,8369
"mu_y[1704,1]",4.805,0.775,3.557,6.064,1,8629
"mu_y[1705,1]",5.522,0.844,4.128,6.906,1,8889
"mu_y[1706,1]",6.191,1.092,4.368,7.978,1,8890
"mu_y[1707,1]",3.567,0.728,2.384,4.768,1,7679
"mu_y[1708,1]",4.045,0.65,2.965,5.122,1,8410
"mu_y[1709,1]",4.542,0.696,3.38,5.686,1,8550
"mu_y[1710,1]",5.041,0.85,3.633,6.446,1,8276
"mu_y[1711,1]",5.522,1.059,3.771,7.275,1,8011
"mu_y[1712,1]",3.348,0.88,1.9,4.794,1.001,8620
"mu_y[1713,1]",3.662,1.096,1.851,5.476,1,8575
"mu_y[1714,1]",4.503,0.75,3.293,5.747,1,8213
"mu_y[1715,1]",5.542,0.697,4.4,6.69,1,8186
"mu_y[1716,1]",6.682,0.767,5.428,7.934,1,8214
"mu_y[1717,1]",9.295,1.251,7.215,11.354,1,8241
"mu_y[1718,1]",2.582,0.74,1.355,3.784,1,8676
"mu_y[1719,1]",3.385,0.7,2.236,4.546,1,8700
"mu_y[1720,1]",4.192,0.841,2.803,5.574,1,8302
"mu_y[1721,1]",4.88,1.054,3.129,6.583,1,8036
"mu_y[1722,1]",2.511,0.744,1.271,3.728,1,8810
"mu_y[1723,1]",2.71,0.701,1.564,3.876,1,8440
"mu_y[1724,1]",2.911,0.829,1.545,4.268,1,8359
"mu_y[1725,1]",3.116,1.074,1.345,4.877,1,8369
"mu_y[1726,1]",2.812,0.858,1.429,4.254,1,6030
"mu_y[1727,1]",2.236,0.967,0.633,3.858,1,8488
"mu_y[1728,1]",2.059,1.162,0.146,4.002,1,8275
"mu_y[1729,1]",2.345,0.775,1.058,3.623,1,8459
"mu_y[1730,1]",2.678,0.845,1.273,4.081,1,8213
"mu_y[1731,1]",2.964,1.086,1.171,4.731,1,8350
"mu_y[1732,1]",2.404,0.768,1.12,3.64,1,8581
"mu_y[1733,1]",2.737,0.688,1.583,3.851,1,8283
"mu_y[1734,1]",3.072,0.868,1.642,4.504,1,8394
"mu_y[1735,1]",3.41,1.2,1.446,5.378,1,8584
"mu_y[1736,1]",1.268,0.88,-0.167,2.698,1,8322
"mu_y[1737,1]",1.216,1.092,-0.582,3.024,1,8188
"mu_y[1738,1]",7.221,0.902,5.739,8.725,1.001,6363
"mu_y[1739,1]",8.692,1.101,6.865,10.504,1,8615
"mu_y[1740,1]",2.186,0.765,0.9,3.43,1.001,8695
"mu_y[1741,1]",2.26,0.851,0.862,3.636,1,8164
"mu_y[1742,1]",2.325,1.093,0.534,4.109,1,8095
"mu_y[1743,1]",0.791,0.749,-0.438,2.026,1,7552
"mu_y[1744,1]",1.017,0.645,-0.046,2.078,1,7981
"mu_y[1745,1]",1.264,0.604,0.278,2.264,1,8451
"mu_y[1746,1]",1.514,0.655,0.447,2.601,1,8409
"mu_y[1747,1]",1.749,0.771,0.48,3.035,1,8283
"mu_y[1748,1]",2.252,1.137,0.382,4.113,1,8025
"mu_y[1749,1]",2.58,0.783,1.291,3.877,1,8724
"mu_y[1750,1]",2.561,0.691,1.448,3.707,1,8340
"mu_y[1751,1]",2.541,0.86,1.154,3.967,1,8143
"mu_y[1752,1]",2.519,1.207,0.568,4.514,1,8144
"mu_y[1753,1]",1.998,0.77,0.698,3.241,1,6745
"mu_y[1754,1]",2.37,0.638,1.325,3.416,1,7546
"mu_y[1755,1]",2.548,0.684,1.419,3.659,1,7592
"mu_y[1756,1]",2.73,0.794,1.417,4.013,1,7503
"mu_y[1757,1]",3.104,1.133,1.229,4.947,1,7230
"mu_y[1758,1]",3.778,0.709,2.601,4.958,1,7822
"mu_y[1759,1]",4.091,0.725,2.901,5.294,1,7894
"mu_y[1760,1]",4.445,0.866,3.014,5.87,1.001,8057
"mu_y[1761,1]",4.769,1.069,2.996,6.541,1,8184
"mu_y[1762,1]",3.761,0.777,2.508,5.054,1,8318
"mu_y[1763,1]",5.211,0.687,4.088,6.339,1,8221
"mu_y[1764,1]",6.838,0.873,5.405,8.262,1.001,8103
"mu_y[1765,1]",8.406,1.217,6.427,10.408,1.001,8070
"mu_y[1766,1]",2.298,0.877,0.853,3.747,1,8746
"mu_y[1767,1]",2.491,1.071,0.719,4.257,1.001,8504
"mu_y[1768,1]",3.916,0.724,2.742,5.11,1,7820
"mu_y[1769,1]",4.728,0.645,3.668,5.782,1,7986
"mu_y[1770,1]",5.636,0.687,4.515,6.764,1,8070
"mu_y[1771,1]",6.549,0.846,5.163,7.931,1,8004
"mu_y[1772,1]",7.418,1.059,5.658,9.148,1,8009
"mu_y[1773,1]",4.593,0.794,3.27,5.891,1,7704
"mu_y[1774,1]",5.946,0.741,4.731,7.169,1,7935
"mu_y[1775,1]",6.585,0.872,5.149,8.034,1,7948
"mu_y[1776,1]",7.299,1.09,5.514,9.103,1,7951
"mu_y[1777,1]",3.17,0.769,1.904,4.447,1,9519
"mu_y[1778,1]",3.517,0.817,2.159,4.854,1,9302
"mu_y[1779,1]",4.027,1.123,2.173,5.885,1,9048
"mu_y[1780,1]",5.703,0.78,4.381,6.95,1,7646
"mu_y[1781,1]",7.655,0.696,6.503,8.79,1,7911
"mu_y[1782,1]",11.602,0.911,10.116,13.095,1,7675
"mu_y[1783,1]",13.439,1.124,11.605,15.26,1,7507
"mu_y[1784,1]",2.346,0.754,1.09,3.57,1.001,7203
"mu_y[1785,1]",3.108,0.697,1.955,4.251,1.001,8347
"mu_y[1786,1]",3.755,0.743,2.526,4.97,1,8237
"mu_y[1787,1]",5.884,1.293,3.784,7.994,1,8239
"mu_y[1788,1]",1.73,0.767,0.429,2.953,1,7257
"mu_y[1789,1]",2.316,0.662,1.215,3.384,1,7779
"mu_y[1790,1]",2.867,0.692,1.714,4.013,1,8275
"mu_y[1791,1]",3.468,0.852,2.054,4.87,1,8400
"mu_y[1792,1]",4.007,1.061,2.254,5.74,1,8195
"mu_y[1793,1]",1.504,0.746,0.269,2.729,1,7665
"mu_y[1794,1]",1.255,0.658,0.166,2.337,1,7749
"mu_y[1795,1]",0.758,0.705,-0.417,1.908,1,8026
"mu_y[1796,1]",0.533,0.815,-0.828,1.86,1,7908
"mu_y[1797,1]",0.039,1.154,-1.866,1.94,1,7866
"mu_y[1798,1]",1.717,0.723,0.494,2.878,1,7428
"mu_y[1799,1]",2.308,0.623,1.249,3.318,1,7197
"mu_y[1800,1]",2.863,0.596,1.877,3.82,1,7176
"mu_y[1801,1]",3.48,0.65,2.396,4.543,1,7624
"mu_y[1802,1]",4.042,0.762,2.784,5.292,1,7832
"mu_y[1803,1]",5.26,1.113,3.428,7.09,1,8014
"mu_y[1804,1]",1.197,0.869,-0.238,2.59,1,8946
"mu_y[1805,1]",0.67,1.269,-1.413,2.773,1,8855
"mu_y[1806,1]",2.304,0.818,0.975,3.666,1,8620
"mu_y[1807,1]",2.92,0.783,1.654,4.24,1,8346
"mu_y[1808,1]",4.22,1.386,1.941,6.495,1,7836
"mu_y[1809,1]",2.641,0.728,1.455,3.829,1,8588
"mu_y[1810,1]",2.547,0.634,1.515,3.595,1,8514
"mu_y[1811,1]",2.474,0.659,1.397,3.544,1,8306
"mu_y[1812,1]",2.365,0.836,0.994,3.727,1,8205
"mu_y[1813,1]",2.281,1.039,0.554,3.965,1,7943
"mu_y[1814,1]",1.555,0.705,0.382,2.706,1,8352
"mu_y[1815,1]",1.477,0.616,0.45,2.485,1,8345
"mu_y[1816,1]",1.391,0.6,0.388,2.367,1,8361
"mu_y[1817,1]",1.315,0.661,0.217,2.396,1,8382
"mu_y[1818,1]",1.234,0.785,-0.063,2.51,1,8378
"mu_y[1819,1]",1.076,1.124,-0.785,2.927,1,8360
"mu_y[1820,1]",4.16,0.766,2.894,5.398,1,7818
"mu_y[1821,1]",4.769,0.873,3.315,6.195,1,7912
"mu_y[1822,1]",5.353,1.106,3.504,7.187,1,7983
"mu_y[1823,1]",5.837,0.735,4.63,7.07,1.001,8363
"mu_y[1824,1]",6.979,0.643,5.919,8.038,1.001,8300
"mu_y[1825,1]",8.011,0.636,6.967,9.038,1.001,8302
"mu_y[1826,1]",10.144,0.836,8.752,11.481,1,8335
"mu_y[1827,1]",12.177,1.173,10.232,14.062,1,8379
"mu_y[1828,1]",2.657,0.791,1.368,3.977,1,8486
"mu_y[1829,1]",3.694,0.919,2.162,5.196,1,8450
"mu_y[1830,1]",4.188,1.147,2.304,6.064,1,8467
"mu_y[1831,1]",1.993,0.776,0.724,3.27,1,7587
"mu_y[1832,1]",1.631,0.848,0.227,3.037,1,8188
"mu_y[1833,1]",1.277,1.111,-0.568,3.111,1,8461
"mu_y[1834,1]",2.889,0.705,1.747,4.046,1,7966
"mu_y[1835,1]",2.953,0.613,1.957,3.954,1,8134
"mu_y[1836,1]",3.024,0.591,2.044,3.987,1,8249
"mu_y[1837,1]",3.086,0.648,2.014,4.147,1,8204
"mu_y[1838,1]",3.155,0.774,1.882,4.42,1,8026
"mu_y[1839,1]",3.286,1.111,1.475,5.086,1,7815
"mu_y[1840,1]",2.118,0.753,0.895,3.368,1,8372
"mu_y[1841,1]",2.218,0.697,1.068,3.361,1,8501
"mu_y[1842,1]",2.406,0.928,0.882,3.935,1,8485
"mu_y[1843,1]",2.496,1.134,0.647,4.349,1,8435
"mu_y[1844,1]",5.003,0.771,3.744,6.281,1,8097
"mu_y[1845,1]",6.458,0.831,5.086,7.82,1,8625
"mu_y[1846,1]",8.054,1.11,6.223,9.896,1,8307
"mu_y[1847,1]",5.27,0.875,3.836,6.726,1,8514
"mu_y[1848,1]",6.487,1.102,4.696,8.33,1,8636
"mu_y[1849,1]",2.958,0.767,1.713,4.231,1,8153
"mu_y[1850,1]",3.55,0.839,2.184,4.932,1,8544
"mu_y[1851,1]",4.053,1.067,2.291,5.781,1,8496
"mu_y[1852,1]",5.421,0.928,3.894,6.927,1,8710
"mu_y[1853,1]",6.034,1.185,4.099,7.963,1,8805
"mu_y[1854,1]",5.238,0.918,3.737,6.73,1,7817
"mu_y[1855,1]",6.196,1.14,4.312,8.031,1,7723
"mu_y[1856,1]",0.932,0.88,-0.534,2.37,1,8590
"mu_y[1857,1]",0.772,1.098,-1.043,2.583,1,8636
"mu_y[1858,1]",1.163,0.83,-0.206,2.523,1,7592
"mu_y[1859,1]",0.34,0.973,-1.251,1.945,1,7852
"mu_y[1860,1]",0.092,1.165,-1.808,2.016,1,7751
"mu_y[1861,1]",7.245,0.816,5.902,8.578,1,7436
"mu_y[1862,1]",10.124,0.803,8.814,11.438,1,8227
"mu_y[1863,1]",15.93,1.28,13.852,18.035,1,8148
"mu_y[1864,1]",1.695,0.874,0.247,3.133,1,8325
"mu_y[1865,1]",1.434,1.426,-0.907,3.792,1,7979
"mu_y[1866,1]",2.585,0.797,1.281,3.904,1,9060
"mu_y[1867,1]",3.315,0.834,1.933,4.657,1,8577
"mu_y[1868,1]",4.087,1.254,2.028,6.109,1,8493
"mu_y[1869,1]",3.519,0.762,2.295,4.769,1,8624
"mu_y[1870,1]",4.488,0.835,3.144,5.891,1.001,7815
"mu_y[1871,1]",5.331,1.069,3.604,7.131,1.001,7698
"mu_y[1872,1]",1.834,0.736,0.639,3.043,1,7747
"mu_y[1873,1]",1.724,0.711,0.547,2.882,1,7904
"mu_y[1874,1]",1.643,0.826,0.27,2.989,1,8151
"mu_y[1875,1]",1.541,1.074,-0.25,3.275,1,8185
"mu_y[1876,1]",1.953,0.706,0.786,3.103,1,8401
"mu_y[1877,1]",1.985,0.722,0.799,3.165,1,8291
"mu_y[1878,1]",2.016,0.858,0.615,3.421,1,8217
"mu_y[1879,1]",2.048,1.073,0.29,3.799,1,7691
"mu_y[1880,1]",1.707,0.73,0.482,2.924,1.001,6540
"mu_y[1881,1]",1.574,0.641,0.5,2.633,1,8507
"mu_y[1882,1]",1.443,0.687,0.285,2.574,1,8343
"mu_y[1883,1]",1.315,0.84,-0.089,2.694,1,8160
"mu_y[1884,1]",1.181,1.065,-0.577,2.905,1,8064
"mu_y[1885,1]",1.359,0.715,0.193,2.551,1.001,8215
"mu_y[1886,1]",1.153,0.606,0.171,2.144,1,8408
"mu_y[1887,1]",0.996,0.592,0.017,1.957,1,8255
"mu_y[1888,1]",0.772,0.686,-0.36,1.883,1,8050
"mu_y[1889,1]",0.674,0.759,-0.585,1.913,1,8015
"mu_y[1890,1]",0.336,1.088,-1.469,2.119,1,7856
"mu_y[1891,1]",2.143,0.73,0.926,3.334,1.001,5672
"mu_y[1892,1]",2.883,0.632,1.83,3.914,1.001,6805
"mu_y[1893,1]",3.695,0.604,2.7,4.676,1,8064
"mu_y[1894,1]",4.464,0.661,3.382,5.544,1,8399
"mu_y[1895,1]",5.313,0.797,4.011,6.614,1,8244
"mu_y[1896,1]",6.709,1.112,4.891,8.568,1,8019
"mu_y[1897,1]",4.905,0.878,3.465,6.357,1,8448
"mu_y[1898,1]",5.937,1.121,4.12,7.809,1,8813
"mu_y[1899,1]",3.141,0.975,1.502,4.734,1,8023
"mu_y[1900,1]",3.604,1.212,1.585,5.595,1,8061
"mu_y[1901,1]",6.075,0.736,4.922,7.311,1,8696
"mu_y[1902,1]",7.307,0.643,6.261,8.395,1,8278
"mu_y[1903,1]",8.622,0.677,7.518,9.756,1,8170
"mu_y[1904,1]",9.903,0.825,8.542,11.232,1,8257
"mu_y[1905,1]",11.225,1.046,9.507,12.906,1,8378
"mu_y[1906,1]",4.387,0.76,3.135,5.615,1,8510
"mu_y[1907,1]",6.232,0.712,5.055,7.406,1,8437
"mu_y[1908,1]",7.931,0.837,6.569,9.324,1,8079
"mu_y[1909,1]",9.854,1.104,8.047,11.69,1,7745
"mu_y[1910,1]",1.174,0.923,-0.339,2.681,1,8067
"mu_y[1911,1]",0.538,1.298,-1.601,2.667,1,8084
"mu_y[1912,1]",1.191,0.766,-0.069,2.452,1.001,8582
"mu_y[1913,1]",1.292,0.822,-0.047,2.631,1,8617
"mu_y[1914,1]",1.4,1.081,-0.382,3.155,1,8533
"mu_y[1915,1]",1.345,0.752,0.12,2.586,1,8674
"mu_y[1916,1]",1.091,0.705,-0.077,2.273,1,8645
"mu_y[1917,1]",0.823,0.799,-0.481,2.163,1,8343
"mu_y[1918,1]",0.305,1.238,-1.727,2.383,1,8237
"mu_y[1919,1]",4.626,0.779,3.335,5.89,1,8799
"mu_y[1920,1]",5.922,0.846,4.561,7.311,1,8425
"mu_y[1921,1]",7.269,1.113,5.438,9.087,1,8258
"mu_y[1922,1]",1.495,0.914,-0.002,3.001,1,7287
"mu_y[1923,1]",1.142,1.28,-0.968,3.235,1,7713
"mu_y[1924,1]",1.702,0.701,0.523,2.837,1,8572
"mu_y[1925,1]",1.56,0.611,0.536,2.558,1.001,8443
"mu_y[1926,1]",1.418,0.589,0.458,2.389,1.001,8492
"mu_y[1927,1]",1.265,0.649,0.21,2.324,1.001,8206
"mu_y[1928,1]",1.134,0.754,-0.102,2.38,1,8135
"mu_y[1929,1]",0.773,1.174,-1.156,2.713,1,8272
"mu_y[1930,1]",3.153,0.686,2.018,4.274,1,7394
"mu_y[1931,1]",3.439,0.636,2.386,4.475,1,7397
"mu_y[1932,1]",3.724,0.669,2.624,4.823,1,7571
"mu_y[1933,1]",4.011,0.775,2.742,5.299,1,7729
"mu_y[1934,1]",4.624,1.137,2.774,6.519,1,7986
"mu_y[1935,1]",1.701,0.737,0.495,2.912,1,8284
"mu_y[1936,1]",1.396,0.695,0.25,2.532,1,8274
"mu_y[1937,1]",1.015,0.837,-0.357,2.389,1,8284
"mu_y[1938,1]",0.634,1.115,-1.199,2.482,1,8280
"mu_y[1939,1]",6.002,0.819,4.657,7.354,1,7993
"mu_y[1940,1]",10.428,0.846,9.026,11.826,1,8300
"mu_y[1941,1]",15.026,1.289,12.902,17.164,1,7679
"mu_y[1942,1]",5.063,0.774,3.802,6.321,1,8852
"mu_y[1943,1]",6,0.833,4.638,7.37,1,8857
"mu_y[1944,1]",7.053,1.117,5.226,8.875,1,8725
"mu_y[1945,1]",2.59,0.777,1.324,3.886,1,8595
"mu_y[1946,1]",2.689,0.86,1.291,4.106,1.001,8662
"mu_y[1947,1]",2.775,1.102,0.962,4.614,1,8654
"mu_y[1948,1]",1.469,0.711,0.314,2.663,1.001,6171
"mu_y[1949,1]",1.156,0.708,-0.002,2.35,1,8282
"mu_y[1950,1]",0.82,0.851,-0.56,2.233,1,8301
"mu_y[1951,1]",0.535,1.047,-1.174,2.246,1,7849
"mu_y[1952,1]",1.613,0.73,0.409,2.796,1,7155
"mu_y[1953,1]",1.198,0.622,0.179,2.216,1,7756
"mu_y[1954,1]",0.849,0.599,-0.125,1.835,1,7978
"mu_y[1955,1]",0.479,0.65,-0.595,1.539,1,8066
"mu_y[1956,1]",0.076,0.777,-1.189,1.325,1,8020
"mu_y[1957,1]",-0.68,1.119,-2.535,1.137,1,8108
"mu_y[1958,1]",1.797,0.723,0.621,3.017,1.001,8326
"mu_y[1959,1]",1.421,0.614,0.425,2.442,1.001,8248
"mu_y[1960,1]",1.158,0.594,0.187,2.146,1,8180
"mu_y[1961,1]",0.832,0.642,-0.225,1.875,1,8078
"mu_y[1962,1]",0.355,0.824,-1.01,1.701,1,7986
"mu_y[1963,1]",-0.131,1.08,-1.92,1.648,1,7978
"mu_y[1964,1]",3.786,0.767,2.554,5.081,1.001,7105
"mu_y[1965,1]",3.757,0.709,2.617,4.961,1,7830
"mu_y[1966,1]",3.722,0.755,2.483,4.959,1,7760
"mu_y[1967,1]",3.624,1.316,1.443,5.797,1,7592
"mu_y[1968,1]",7.573,0.785,6.292,8.846,1,8374
"mu_y[1969,1]",9.656,0.84,8.285,11.034,1,8138
"mu_y[1970,1]",12.073,1.127,10.267,13.952,1,8120
"mu_y[1971,1]",1.939,0.717,0.786,3.135,1,7476
"mu_y[1972,1]",1.683,0.647,0.638,2.757,1,8499
"mu_y[1973,1]",1.417,0.658,0.338,2.495,1,8571
"mu_y[1974,1]",1.162,0.747,-0.053,2.383,1,8435
"mu_y[1975,1]",0.415,1.241,-1.61,2.451,1,8298
"mu_y[1976,1]",2.857,0.882,1.416,4.3,1,8895
"mu_y[1977,1]",3.283,1.12,1.474,5.103,1,8909
"mu_y[1978,1]",1.953,0.694,0.795,3.108,1,8949
"mu_y[1979,1]",1.851,0.607,0.835,2.853,1,8827
"mu_y[1980,1]",1.749,0.587,0.779,2.715,1,8492
"mu_y[1981,1]",1.641,0.647,0.569,2.707,1,8136
"mu_y[1982,1]",1.53,0.775,0.265,2.809,1,7814
"mu_y[1983,1]",1.326,1.104,-0.497,3.152,1,7646
"mu_y[1984,1]",1.615,0.705,0.44,2.766,1,6823
"mu_y[1985,1]",1.476,0.614,0.451,2.488,1,7017
"mu_y[1986,1]",1.327,0.593,0.339,2.304,1,7418
"mu_y[1987,1]",1.173,0.662,0.085,2.264,1,7843
"mu_y[1988,1]",1.035,0.783,-0.261,2.319,1,7953
"mu_y[1989,1]",0.75,1.126,-1.1,2.624,1,7978
"mu_y[1990,1]",2.613,0.769,1.362,3.857,1,8632
"mu_y[1991,1]",2.939,0.838,1.575,4.312,1,8584
"mu_y[1992,1]",3.282,1.107,1.463,5.096,1,8755
"mu_y[1993,1]",2.438,0.765,1.181,3.714,1,8547
"mu_y[1994,1]",2.851,0.844,1.478,4.235,1,8347
